sample_type,N_rate,P_rate,K_rate,global_warming,marine_eutrophication,terrestrial_acidification
OAT_P,135,50.4098,30,5148.365882,0.700964944,26.39100167
OAT_P,135,55.955,30,5164.483533,0.701772331,26.47062407
OAT_K,135,50,34.9372,5162.067034,0.702291613,26.4463563
OAT_K,135,50,39.4139,5175.570284,0.703548644,26.50188332
OAT_K,135,50,25.7908,5134.47838,0.699723358,26.33290836
OAT_K,135,50,28.8336,5143.6565,0.700577758,26.37064992
OAT_K,135,50,39.0329,5174.421058,0.703441662,26.49715756
OAT_K,135,50,21.9683,5122.94842,0.698650022,26.28549575
OAT_K,135,50,24.7911,5131.462945,0.699442648,26.32050852
OAT_K,135,50,39.2028,5174.933534,0.703489369,26.49926493
OAT_K,135,50,39.4553,5175.69516,0.703560269,26.50239683
OAT_K,135,50,26.3645,5136.208855,0.699884449,26.34002429
OAT_K,135,50,34.9983,5162.251332,0.70230877,26.44711416
OAT_K,135,50,32.7072,5155.340595,0.701665442,26.41869636
OAT_K,135,50,30.2579,5147.952673,0.700977693,26.38831631
OAT_K,135,50,31.8243,5152.677469,0.701417529,26.40774525
OAT_K,135,50,37.9955,5171.291907,0.703150366,26.48429011
OAT_K,135,50,29.8065,5146.591098,0.700850943,26.38271734
OAT_K,135,50,22.1189,5123.402681,0.69869231,26.28736373
OAT_K,135,50,24.5084,5130.610226,0.699363267,26.31700204
OAT_K,135,50,31.8996,5152.904599,0.701438673,26.40867924
OAT_K,135,50,21.645,5121.973237,0.698559241,26.28148568
OAT_K,135,50,35.8161,5164.718095,0.702538403,26.45725779
OAT_K,135,50,25.5682,5133.806943,0.699660853,26.33014733
OAT_K,135,50,35.4039,5163.47476,0.70242266,26.45214504
OAT_K,135,50,29.6118,5146.003816,0.700796272,26.38030237
OAT_K,135,50,22.0511,5123.198173,0.698673272,26.28652276
OAT_K,135,50,37.9612,5171.188446,0.703140735,26.48386467
OAT_K,135,50,35.3293,5163.249741,0.702401713,26.45121973
OAT_K,135,50,22.4762,5124.480419,0.698792638,26.29179552
OAT_K,135,50,22.3985,5124.24605,0.69877082,26.29083176
OAT_K,135,50,29.8924,5146.850201,0.700875063,26.38378281
OAT_K,135,50,22.3803,5124.191152,0.698765709,26.29060602
OAT_K,135,50,30.0493,5147.323465,0.70091912,26.38572893
OAT_K,135,50,22.7007,5125.157588,0.698855676,26.29458012
OAT_K,135,50,23.0879,5126.325515,0.698964399,26.29938278
OAT_K,135,50,31.9709,5153.119664,0.701458694,26.40956361
OAT_K,135,50,22.4628,5124.44,0.698788875,26.29162931
OAT_K,135,50,29.1652,5144.656719,0.70067087,26.37476294
OAT_K,135,50,31.158,5150.667681,0.701230436,26.39948076
OAT_K,135,50,22.8359,5125.565397,0.698893639,26.29625708
OAT_K,135,50,36.7301,5167.47503,0.702795049,26.46859464
OAT_K,135,50,23.5735,5127.790249,0.699100753,26.30540595
OAT_K,135,50,27.7859,5140.496281,0.70028357,26.35765471
OAT_K,135,50,34.5989,5161.046606,0.702196621,26.44216017
OAT_K,135,50,31.5745,5151.923987,0.701347387,26.40464684
OAT_K,135,50,38.8809,5173.962574,0.703398981,26.49527222
OAT_K,135,50,22.1986,5123.643083,0.698714689,26.28835229
OAT_K,135,50,37.5664,5169.997595,0.703029877,26.47896774
OAT_K,135,50,25.826,5134.584556,0.699733242,26.33334497
OAT_K,135,50,30.9501,5150.040584,0.701172059,26.39690206
OAT_K,135,50,22.8693,5125.666143,0.698903018,26.29667136
OAT_K,135,50,20.4617,5118.404002,0.698226978,26.26680854
OAT_K,135,50,29.9385,5146.989254,0.700888008,26.38435461
OAT_K,135,50,28.3449,5142.182415,0.700440534,26.3645883
